Country Name,Country Code,Series Name,Series Code,1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
India,IND,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.90091499,24.44362326,23.57197889,24.57681356,26.08217017,24.58433379,25.08949989,23.66775629,23.35888821,25.1369225,24.52478712,25.35005215,25.45876778,27.53509242,26.02178485,29.93230964,28.33252481,28.33482571,30.70814142,32.75533704,33.58489158,35.81287812,34.71795935,33.95162693,33.23001467,34.31341665,33.43693433,31.29580085,30.08023706,28.73314413,28.18843788,28.17781362,29.46306815,28.45454433,27.32432137,29.57803452,31.22309444,30.42604557,29.89623094,..
India,IND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,5.19622166,5.604580884,6.035219755,7.016130278,7.053350234,8.494240771,8.842926925,9.834217455,9.888084916,10.84396804,10.38516927,10.69071732,11.01846918,11.45206461,12.99723631,12.55837963,14.26438392,14.94791386,17.85912496,19.60524669,21.26794142,20.79969975,24.09735726,20.40051937,22.40093325,24.54041132,24.53443066,25.4308613,22.96796301,19.81318916,19.15823491,18.79176484,19.9278286,18.6642649,18.68247693,21.39915833,23.2515412,21.44869778,21.16184605,..
India,IND,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,1200,1220,1290,1360,1450,1560,1680,1740,1840,1990,2070,2180,2260,2440,2660,2920,3200,3490,3610,3860,4160,4420,4760,4950,5130,5360,5730,6080,6640,7080,6870,7960,9080,10180,11000,..
India,IND,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,..,..,..,..,..,6601.072672,6788.504591,6934.048962,7206.640245,7518.34339,7837.817772,7910.805669,8147.408668,8598.944805,8662.443882,8884.033966,9033.475011,9539.624702,10082.13621,10660.04461,11449.63991,12257.91779,12582.21207,13502.02332,14566.98872,15186.01582,15879.23776,16607.35942,17536.73252,18632.33673,19847.63863,20870.18375,21902.46574,22173.16645,21151.78928,22095.29914,22614.73408,23679.83333,24430.11796,..
Portugal,PRT,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,..,..,..,..,4.800441728,4.590746117,3.831063444,3.541716439,3.289172486,3.109748284,2.960749574,2.722890862,2.651180796,2.60214118,2.303493354,2.253137515,1.99815594,1.963771852,1.950626212,1.94034871,1.83843906,1.920046873,2.041887065,1.976591015,1.975412501,1.922358408,1.963673452,1.918174709,1.999918458,2.140896925,2.162046298,1.905436762,2.137210694,2.021671209,..
Portugal,PRT,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,..,..,..,..,..,..,..,..,..,24.8145536,25.43941098,25.71561236,25.33649158,24.868123,24.4615744,24.14388424,23.49698865,22.62971502,22.23695662,21.38330861,21.14765296,21.15335285,20.38627976,19.85719046,19.9335311,19.3319728,19.08675839,18.88309738,18.98504401,19.59384983,19.44817809,19.24938331,19.38204354,18.88608319,19.39453334,19.31283696,18.40324286,18.71189372,18.68969106,..
Portugal,PRT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,..,..,..,..,..,..,..,..,..,58.50576799,57.80811476,58.44852623,58.55016921,58.95295536,60.02221946,60.58379713,61.23805922,62.13227759,62.56526013,62.97273366,62.89455252,63.50158554,64.77132591,66.7872578,65.99001077,66.27271086,66.39181494,66.87401728,66.30772467,65.43575414,65.41151093,65.2644212,65.11898581,65.58607854,65.56695787,65.06870626,66.19337181,66.29237561,66.27693551,..
Portugal,PRT,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,78.12921797,77.19119968,77.54779938,77.49288515,78.93652606,81.62133475,82.61216149,84.99889158,84.07119898,82.18163078,82.70452376,81.47231786,80.85088229,81.32255961,82.267118,82.05981117,82.25720545,83.28985833,84.04616672,85.41755554,84.90657091,84.4578622,85.9740916,86.06270061,86.43461727,85.52316958,84.74043447,84.21907509,84.50608396,83.32135394,82.78380618,81.47614851,80.85581285,80.69647104,82.57803127,81.84192342,81.02726436,78.32762298,77.78581582,..
Portugal,PRT,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,23.66027742,26.18691244,27.91445238,27.13132005,26.73844906,25.4312633,24.17941466,22.67133859,22.69477326,23.28152752,23.82378586,25.99736189,27.34822304,27.59113555,28.00305059,27.38158979,25.85710467,23.7604429,23.42406739,23.12657563,22.53285356,22.50962243,22.85223589,21.20159526,20.64803932,18.48411326,15.8781657,14.83091768,15.11074796,15.65407321,15.72672723,17.08565936,17.8287896,18.43282547,19.49629937,20.50297804,20.57324131,20.48595202,20.44042958,..
Portugal,PRT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,25.99488583,27.33856453,27.6366708,29.4651906,29.16917753,26.54755888,24.45867065,23.60014829,25.13356593,26.76973187,26.54846488,27.15414475,27.33162723,26.48197472,28.20462059,27.43732611,27.07336223,27.3671919,27.66705156,27.08416755,30.35740444,31.19418457,31.26107908,27.29374272,30.02758512,34.41151309,37.72350572,39.56395033,40.18509058,40.68766641,40.35508893,42.94267865,43.67758057,43.65312594,37.25601513,41.54842718,49.4816822,47.15547693,45.77172504,..
Portugal,PRT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,11770,12760,13270,13300,13620,14520,15010,15770,16640,17660,18580,19190,20050,20640,21210,22420,23980,25000,25770,25570,26420,26330,25880,27560,28170,28840,30870,32230,34070,36970,35450,38270,44430,48040,50730,..
Portugal,PRT,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,..,..,..,..,..,60478.04845,62818.25299,62372.64777,63477.38394,66161.1372,67810.48013,68904.32954,68521.34254,70486.6949,71716.98444,71698.84919,71636.94899,71925.28559,73685.97263,74646.72473,75420.18375,77119.8041,76993.51996,76803.22035,79245.93849,80567.91529,80545.88216,81914.18982,81148.06583,81450.8216,82073.68953,82138.07965,82674.52615,84215.31351,79272.13193,83953.00555,87040.61676,87581.50324,88558.81391,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
